Item Number,Price,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition
85264984052,249.99,HP,Intel core i7 4th gen,16.0 in,Black,8.0 GB,256 GB,Intel HD Graphics 4600,2.70 GHz,Notebook/Laptop,1920 x 1080,HP ProBook,Windows 10 Pro,256 GB,SSD (Solid State Drive),Wi-Fi,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984063,225,Lenovo,Intel Core i5 8th Gen.,14.0 in,Black,8.0 GB,512 GB,Intel UHD Graphics,1.6 GHz,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T490s,Windows 11 Pro,Unknown,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984065,79,Lenovo,Radeon R4 Dual-Core,14.0 in,Gray,4.0 GB,32 GB,AMD Radeon R4,1.60 GHz,Notebook/Laptop,1920 x 1080,Lenovo Chromebook 14e,Chrome OS,Unknown,SSD (Solid State Drive),"Built-in Microphone,Built-in Webcam,Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984066,55,Lenovo,Intel Celeron,11.6 in,Black,4.0 GB,32 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,1366 x 768,Lenovo 100e,Chrome OS,32 GB,SSD (Solid State Drive),"LED Display, Stereo speakers, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984072,204,Lenovo,Intel Core i5,15.6 in,Black,8.0 GB,256 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,1920x1080,ThinkPad E15,Not Included,256 GB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  LED backlight,  TrackPoint,  multi-touch touchpad,  Spill-resistant","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984074,199.99,Chunghwa,Dual Core,12.0 in,Gray,8.0 GB,256 GB,Intel UHD Graphics,UP to 3.4Ghz,Tablet/Laptop Convertible,1920 x 1080,UBOOK X,Windows 10 Home,256 GB,256 G,"Built-In Front Camera,  Built-In Rear Camera","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264984085,179.99,HP,Intel Core i5-6300U,14.0 in,Silver,16.0 GB,256 GB,Intel HD 520 Graphics,2.40 GHz,Notebook/Laptop,1366 x 768,HP 840 G3,Windows 10 Pro,256 GB,SSD (Solid State Drive),"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Wi-Fi Ready,  Gigabit Ethernet Port,  New Windows 10 Full Version Preinstalled,  Windows Recovery Solution For Re-installations,  Microsoft Windows Antivirus,  Free Open Office (Writer - Calc -Draw -Spreadsheet)","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984086,310,Dell,Intel Core i5 8th Gen.,14.0 in,Black,nan GB,Unknown,Intel UHD Graphics 620,3.4 GHz (1.60 GHz Base Frequency),Notebook/Laptop,1920 x 1080,Dell Latitude 7490,Windows 11 Pro,2 TB,SSD (Solid State Drive),"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984089,199,Lenovo,Intel Core i5 8th Gen.,14.0 in,Black,16.0 GB,256 GB,Intel UHD Graphics 620,1.6 GHz,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T490S,Windows 11 Pro,256 GB,SSD (Solid State Drive),"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984094,229.99,Lenovo,AMD Ryzen 5,14.0 in,Black,16.0 GB,256 GB,AMD Radeon Vega 8,2.10 GHz,Notebook/Laptop,1920 x 1080,Lenovo T495,Windows 11 Home,Unknown,SSD (Solid State Drive),"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984095,739.99,Lenovo,AMD Ryzen 7,14.0 in,Black,16.0 GB,512 GB,AMD Radeon 780M,3.3 GHz,Notebook/Laptop,1920 x 1200,Lenovo ThinkPad T14 4th Gen.,Windows 11 Home,Unknown,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi","Excellent - RefurbishedThe item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984097,279.99,Lenovo,Intel Core i5 8th Gen.,14.0 in,Black,16.0 GB,500 GB,Intel UHD Graphics,1.70 GHz,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,500 GB,SSD (Solid State Drive),"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Touch ID,  Wi-Fi","Excellent - RefurbishedThe item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
