Item Number,Price,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition
85264981643,603.53,Lenovo,Intel Core i3 7th generation,15.6 in,Black,nan GB,960GB,Intel HD Graphics 620,2.00-3.00GHz,Notebook/Laptop,Full HD,E570,Windows 10 pros,Unknown,SSD,"Touch ID, Webcam integrated, Wi-Fi, Optical Drive, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981734,414.64,Dell,Intel Core i5 6th generation,12.5 in,Unknown,nan GB,120GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,Full HD,E7270,Windows 10 pros,Unknown,SSD,"Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981759,356.13,Dell,Intel Core i5 4th generation,10.8 in,Unknown,nan GB,480GB,Intel HD Graphics 4200,1.50-1.99GHz,Notebook/Laptop,Full HD,11 Pro 7130,Windows 11 pros,Unknown,SSD,"SIM slots,  Touchscreen,  Touch ID,  Bluetooth,  Webcam integrated,  Wi-Fi,  Player SD","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981772,434.41,Lenovo,Intel Core i5 4th generation,14.0 in,Unknown,nan GB,240GB,Intel HD Graphics 4400,3.00-4.00GHz,Notebook/Laptop,HD,T440s,Windows 11 pros,Unknown,SSD,"Touch ID, 10/100 LAN Card, Bluetooth, Double battery, Webcam integrated, Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981777,2723.26,Simpletek,inter Core i7 8550U,14.0 in,Unknown,nan GB,4TB,Intel UHD Graphics 620,1.80 GHz,Notebook/Laptop,Full HD,W14X,Windows 10 Pros,Unknown,SSD,"Touch ID, 10/100 LAN Card, Shockproof, Bluetooth, Webcam integrated, Wi-Fi","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264981783,323.23,Fujitsu,Intel Core i5 6th generation,13.3 in,Gray,nan GB,120GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,HD,E736,Windows 10 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981817,430.44,Fujitsu,Intel Core i5 4th generation,15.6 in,Unknown,nan GB,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,A574,Windows 11 pros,Unknown,SSD,"10/100 LAN Card, Optical Drive, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981828,384.34,Fujitsu,Intel Core i5 6th generation,13.3 in,Unknown,nan GB,240GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,HD,E736,Windows 11 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981829,597.36,Lenovo,Intel Celeron,15.6 in,Unknown,nan GB,240GB,Intel HD Graphics 510,1.60GHz,Notebook/Laptop,HD,L560,Windows 10 pros,Unknown,SSD,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981849,470.14,Lenovo,Intel Core i5 4th generation,12.5 in,Black,nan GB,240GB,Intel HD Graphics 4400,1.50-1.99GHz,Notebook/Laptop,HD,x240,Windows 11 pros,Unknown,SSD,"Touchscreen, 10/100 LAN Card, Bluetooth, Double battery, Webcam integrated, Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981861,282.91,Dell,Intel Core i5 3rd generation,14.0 in,Unknown,nan GB,240GB,Intel HD Graphics 4000,3.10 GHz,Notebook/Laptop,HD,E5430,Windows 10 Pros,Unknown,SSD,"10/100 LAN Card, Wi-Fi","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264981868,427.27,Dell,Intel Core i5 2nd generation,15.6 in,Unknown,nan GB,120GB,Intel HD Graphics 3000,2.00-3.00GHz,Notebook/Laptop,HD,E6520,Windows 10 pros,Unknown,SSD,"10/100 LAN Card,  Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981903,329.47,HP,Intel Core i7 7th Gen,14.0 in,Unknown,16.0 GB,256 GB,Intel HD Graphics 620,2.80 GHz - 3.90 GHz,Notebook/Laptop,FHD (1920 x 1080),EliteBook x360 1030 G2,Windows 10 Pro 64Bit,Unknown,SSD (Solid State Drive),"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Fingerprint Sensor, Multi-Touch Trackpad, Touchscreen, Wi-Fi","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981904,729.33,Lenovo,Intel Core I5 ​​12th Generation,15.6 in,Unknown,nan GB,256GB,Intel UHD Graphics,3.00-4.00GHz,Notebook/Laptop,Full HD,V15 G3,Windows 10 pros,Unknown,SSD,"Webcam integrated, Wi-Fi, Bluetooth","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981911,2143.43,Simpletek,inter Core i7 8550U,14.0 in,Unknown,nan GB,240GB,Intel UHD Graphics 620,1.80 GHz,Notebook/Laptop,Full HD,W14X,Windows 10 Pros,Unknown,SSD,"Touch ID, 10/100 LAN Card, Shockproof, Bluetooth, Webcam integrated, Wi-Fi","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264981921,684.06,Fujitsu,Intel Core i3 6th generation,14.0 in,Black,nan GB,2TB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,HD,E546,Windows 11 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Optical Drive, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981926,462.86,Lenovo,Intel Core i3 7th generation,13.3 in,Unknown,nan GB,480GB,Intel HD Graphics 620,2.40GHz,Notebook/Laptop,HD,13,Windows 11 pros,Unknown,SSD,"Webcam integrated,  Wi-Fi,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981930,430.44,Fujitsu,Intel Core i5 4th generation,15.6 in,Unknown,nan GB,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,A574,Windows 11 pros,Unknown,SSD,"10/100 LAN Card, Optical Drive, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981937,422.96,Lenovo,Intel Core i3 7th generation,13.0 in,Black,nan GB,120GB,Intel HD Graphics 620,2.40GHz,Notebook/Laptop,HD,13,Windows 11 pros,Unknown,SSD,"Webcam integrated, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981938,738,Lenovo,Intel Core i3 8th generation,15.6 in,Unknown,nan GB,960GB,Intel UHD Graphics 620,2.20GHz,Notebook/Laptop,Full HD,81YD,Windows 11 pros,Unknown,SSD,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981956,383.61,Fujitsu,Intel Core i3 4th generation,13.3 in,Black,nan GB,120GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,E734,Windows 10 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981959,282.91,Dell,Intel Core i5 3rd generation,14.0 in,Unknown,nan GB,240GB,Intel HD Graphics 4000,3.10 GHz,Notebook/Laptop,HD,E5430,Windows 11 Pro,Unknown,SSD,"10/100 LAN Card,  Wi-Fi","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264981960,270.15,Dell,Intel Core i5 3rd generation,14.0 in,Unknown,nan GB,120GB,Intel HD Graphics 4000,3.10 GHz,Notebook/Laptop,HD,E5430,Windows 11 Pro,Unknown,SSD,"10/100 LAN Card, Wi-Fi","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264981974,387.1,Dell,Intel Core i5 4th generation,10.8 in,Unknown,nan GB,120GB,Intel HD Graphics 4200,1.50-1.99GHz,Notebook/Laptop,Full HD,11 Pro 7130,Windows 10 pros,Unknown,SSD,"SIM slots, Touchscreen, Touch ID, Bluetooth, Webcam integrated, Wi-Fi, Player SD","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982016,383.61,Fujitsu,Intel Core i3 4th generation,13.3 in,Black,nan GB,120GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,E734,Windows 10 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982028,647.36,Fujitsu,Intel Core i5 4th generation,15.6 in,Unknown,nan GB,960GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,A574,Windows 11 pros,Unknown,SSD,"10/100 LAN Card,  Optical Drive,  Wi-Fi,  Bluetooth","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264982044,509.94,Lenovo,Intel Core i3 6th generation,12.5 in,Black,nan GB,120GB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,HD,X260,Windows 11 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Double battery, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982058,356.13,Dell,Intel Core i5 4th generation,10.8 in,Unknown,nan GB,480GB,Intel HD Graphics 4200,1.50-1.99GHz,Notebook/Laptop,Full HD,11 Pro 7130,Windows 11 pros,Unknown,SSD,"SIM slots,  Touchscreen,  Touch ID,  Bluetooth,  Webcam integrated,  Wi-Fi,  Player SD","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982113,449.96,Lenovo,Intel Xeon,15.6 in,Black,16.0 GB,512 GB,NVIDIA Quadro M2000M,2.80 GHz,Notebook/Laptop,3840 x 2160,Lenovo Thinkpad P50,Windows 10 Home,Unknown,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264982116,179.99,Dell,Intel Core i5 6th Gen.,14.0 in,Black,8.0 GB,512 GB,Intel HD Graphics,2.40 GHz,Unknown,1920 x 1280,dell 5414,Windows 10 Pro,512 GB,SSD (Solid State Drive),Rugged,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264982124,599,Dell,Intel Core i5-1135G7,15.6 in,Carbon Black,16.0 GB,1 TB,Intel UHD Graphics,2.40 GHz,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,1 TB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264982133,524.95,HP,Intel Core i7 8th Gen.,17.3 in,Silver,64.0 GB,512 GB,Nvidia Quadro P3200,2.60 GHz,Notebook/Laptop,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,512 GB,SSD (Solid State Drive),"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982142,349.99,Lenovo,AMD Ryzen 5,13.3 in,Blue,8.0 GB,256 GB,AMD Radeon Graphics,2.10 GHz,Notebook/Laptop,1920 x 1080,Lenovo Yoga 6,Windows 11 Home,Unknown,SSD (Solid State Drive),"Bluetooth,  Built-in Webcam,  Touchscreen,  Wi-Fi","Certified - Refurbished: The item is in pristine, like-new condition. It has been professionally ...  Read moreabout the conditionCertified - Refurbished: The item is in pristine, like-new condition. It has been professionally inspected, cleaned, and refurbished by the manufacturer or a manufacturer-approved vendor to meet manufacturer specifications. The item will be in new packaging with original or new accessories. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264982145,1149.49,HP,Intel Core i7 13th Gen.,16.1 in,Black,16.0 GB,1 TB,NVIDIA GeForce RTX 4060,2.40 GHz,Notebook/Laptop,1920 x 1080,HP Victus,Windows 11 Home,1 TB,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264982151,409,Microsoft,Intel Core i5 11th Gen.,12.3 in,Silver,8.0 GB,256 GB,Intel Iris Xe Graphics,2.40 GHz,Convertible 2-in-1 Laptop/Tablet,2736 x 1824,Microsoft Surface Pro 7,Windows 10 Pro,Unknown,SSD (Solid State Drive),"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi","Open boxAn item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. See all condition definitionsopens in a new window or tab"
85264982158,526.94,Lenovo,Intel Core i3 7th generation,13.0 in,Unknown,nan GB,480GB,Intel HD Graphics 620,2.40GHz,Notebook/Laptop,HD,13,Windows 11 pros,Unknown,SSD,"Webcam integrated,  Wi-Fi,  Bluetooth","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264982160,335.58,Dell,Intel Core i5 3rd generation,14.0 in,Unknown,nan GB,480GB,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,HD,E5430,Windows 10 pros,Unknown,SSD,"10/100 LAN Card,  Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982168,420.49,Fujitsu,Intel Core i5 4th generation,14.0 in,Black,nan GB,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,E744,Windows 11 pros,Unknown,SSD,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Optical Drive,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982170,97.2,Dell,Intel Core i5 6th Gen.,14.0 in,Black,8.0 GB,Unknown,Intel HD Graphics,2.40 GHz,Notebook/Laptop,1366 x 768,Dell Latitude E5470,Not Included,Unknown,HDD (Hard Disk Drive),"Built-in Webcam,  Wi-Fi,  Built-in Microphone,  Bluetooth","For parts or not workingAn item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab"
85264982182,97.2,Dell,Intel Core i5 5th Gen.,14.0 in,Black,4.0 GB,Unknown,Intel HD Graphics,2.30 GHz,Notebook/Laptop,1366 x 768,Dell Latitude E5450,Not Included,Unknown,HDD (Hard Disk Drive),"Wi-Fi, Built-in Microphone","For parts or not workingAn item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab"
85264982191,405,Lenovo,Intel Core i3 7th generation,13.3 in,Unknown,nan GB,128GB,Intel HD Graphics 620,2.00-3.00GHz,Notebook/Laptop,HD,13,Windows 10 pros,Unknown,SSD,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982198,673.54,Lenovo,Intel Core i3 6th generation,12.5 in,Black,nan GB,960GB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,HD,X260,Windows 11 pros,Unknown,SSD,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Double battery,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982202,508.62,Fujitsu,Intel Core i5 4th generation,15.6 in,Unknown,nan GB,480GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,HD,A574,Windows 11 pros,Unknown,SSD,"10/100 LAN Card, Optical Drive, Wi-Fi, Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982211,120.32,Lenovo,Intel Core i5 4th Gen.,12.5 in,Unknown,8.0 GB,Unknown,Intel HD Graphics,1.90 GHz,Notebook/Laptop,1366 x 768,Lenovo ThinkPad X240,Windows 10,500 GB,HDD (Hard Disk Drive),"Built-in Microphone, Built-in Webcam, Wi-Fi","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264982214,422.66,Dell,Intel Core i5 6th generation,12.5 in,Unknown,nan GB,240GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,Full HD,E7270,Windows 10 pros,Unknown,SSD,"Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982215,323.23,Fujitsu,Intel Core i5 6th generation,13.3 in,Gray,nan GB,120GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,HD,E736,Windows 10 pros,Unknown,SSD,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264982217,1044.32,Microsoft,Intel Core i7 8th generation,13.5 in,Unknown,nan GB,256GB,Intel Iris Plus Graphics,2.00-3.00GHz,Notebook/Laptop,2256 x 1504,Surfacebook 2nd Gen,Windows 10 Pros,Unknown,SSD,"Backlit Keyboard,  Webcam integrated,  Wi-Fi,  Bluetooth","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264982255,732.75,Fujitsu,Intel Core i5 6th generation,13.3 in,Unknown,nan GB,2TB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,HD,E736,Windows 11 pros,Unknown,SSD,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth","Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab "
